num,API,Molecular Weight( g/mol),XLogP3-AA,Hydrogen Bond Donor Count,Hydrogen Bond Acceptor Count,Rotational bond count,Topological surface area( A^2),Heavy atom count,Complexity,LogS,DOSE,Disintegrant,Dose (mg),Disintegrant,Dose (mg),Super_Disintegrant,Dose (mg),Super_Disintegrant,Dose (mg),Diluent,Dose (mg),Diluent,Dose (mg),Binder,Dose (mg),Binder,Dose (mg),Glidant,Dose (mg),Glidant,Dose (mg),Lubricant,Dose (mg),Lubricant,Dose (mg),Lubricant,Dose (mg),pH_modifier,Dose (mg),pH_modifier,Dose (mg),Solubilizer,Dose (mg),Sweeting_agent,Dose (mg),Sweeting_agent,Dose (mg),Viscosity_increasing,Dose (mg),Preservative,Dose (mg),Weight(mg),"Bulk Density
(g/cc , gm/ml , gm/cm³) (Mean)","Tapped Density
(g/cc , gm/ml , gm/cm³) (Mean)","Carr’s Compressibility Index
(%) (Mean)",Hausner Ratio (Mean),Angle of Repose (°) (Mean),HARDNESS,"HARDNESS      (kg/cm2 , kp , kgF)   (SD)",FRIABILITY(%) (mean),FRIABILITY(%) (SD),THICKNESS (mm) (mean),THICKNESS (mm) (SD),Wetting time (s) (mean),Wetting time (s) (SD),Drug content (%) (mean),Drug content (%) (SD),Water absorption ratio (%) (Mean),Water absorption ratio (%) (SD),Mixing Time(min) (Mean),Mixing Time(min) (SD),DIAMETER(mm) (Mean),DIAMETER(mm) (SD),Tablet porosity (%) (Mean),Tablet porosity (%) (SD),Assay (%) (Mean),Assay (%) (SD),Moisture content (%) (Mean),Moisture content (%) (SD),Dispersion Time (s) (Mean),Dispersion Time (s) (SD),Cumulative Drug Release(%) (Mean),Cumulative Drug Release(%) (SD),DISINTEGRATION_TIME
339,103,1001.1,2.4,4,20,18,304,67,761,-4.6,20,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,148,1,3,0,0,0,0,0,0,0,0,1,10,0,0,7,4,0,0,0,0,200,0.7,0.9,16.6,1.2,26.6,3.4,0,0.5,0,2.5,0,87,1.2,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,52,1.5,0,0,69
340,103,1001.1,2.4,4,20,18,304,67,761,-4.6,20,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,143,1,3,0,0,0,0,0,0,0,0,1,15,0,0,7,4,0,0,0,0,200,0.7,0.9,16.2,1.2,24.8,3.3,0,0.6,0,3.1,0,80,1,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,51,0.5,0,0,65
429,107,514.6,6.9,1,4,7,72.9,39,831,-9.2,40,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,77,1,4,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,150,0.6,0.7,19.5,1.2,21.6,3.9,0,0.6,0,3.9,0,52,1.3,0,0,1.3,0.2,0,0,0,0,0,0,0,0,0,0,44,1.2,0,0,42
334,103,1001.1,2.4,4,20,18,304,67,761,-4.6,20,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,148,1,3,0,0,0,0,0,0,0,0,1,10,0,0,7,4,0,0,0,0,200,0.8,0.9,14.7,1.2,23.5,3.1,0,0.3,0,2.7,0,83,0.5,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,50,1.3,0,0,64
335,103,1001.1,2.4,4,20,18,304,67,761,-4.6,20,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,143,1,3,0,0,0,0,0,0,0,0,1,15,0,0,7,4,0,0,0,0,200,0.7,0.9,16.6,1.2,25.4,3.4,0,0.6,0,2.8,0,76,1.2,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,48,1.2,0,0,59
341,103,1001.1,2.4,4,20,18,304,67,761,-4.6,20,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,138,1,3,0,0,0,0,0,0,0,0,1,20,0,0,7,4,0,0,0,0,200,0.8,0.9,15.7,1.2,26.6,3.5,0,0.6,0,2.9,0,77,1.3,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,48,1.2,0,0,61
1174,71,129.2,-1.3,3,1,2,91.5,9,132,-1.4,500,0,0,8,72,0,0,0,0,1,18,2,45,0,0,0,0,1,2.5,0,0,1,2.5,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,650,0.5,0.6,14.5,1.2,28,3.1,0,0.3,0,0,0,6.9,0.1,99.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.5
336,103,1001.1,2.4,4,20,18,304,67,761,-4.6,20,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,138,1,3,0,0,0,0,0,0,0,0,1,20,0,0,7,4,0,0,0,0,200,0.8,0.9,15.8,1.2,24.6,3.3,0,0.5,0,2.9,0,71,1.7,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,45,0.6,0,0,55
344,103,1001.1,2.4,4,20,18,304,67,761,-4.6,20,0,0,8,12,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,134,1,3,0,0,0,0,0,0,0,0,1,20,0,0,7,4,0,0,0,0,200,0.7,0.9,16.8,1.2,24.7,3.5,0,0.6,0,2.5,0,63,0.6,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,40,0.5,0,0,47
342,103,1001.1,2.4,4,20,18,304,67,761,-4.6,20,3,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,130,1,3,0,0,0,0,0,0,0,0,1,20,0,0,7,4,0,0,0,0,200,0.7,0.9,15.8,1.2,25.6,3.2,0,0.6,0,2.8,0,49,1.5,0,0,1.8,0.2,0,0,0,0,0,0,0,0,0,0,32,1.7,0,0,37
