MolecularWeight,XLogP3-AA,HydrogenBondDonorCount,HydrogenBondAcceptorCount,Rotationalbondcount,TopologicalSurfaceArea,HeavyAtomCount,Complexity,LogS,DOSE1,Disintegrant,Dose2,Disintegrant1,Dose3,Super_Disintegrant,Dose4,Super_Disintegrant1,Dose5,Diluent,Dose6,Diluent1,Dose7,Binder,Dose8,Binder1,Dose9,Glidant,Dose10,Glidant1,Dose11,Lubricant,Dose12,Lubricant1,Dose13,Lubricant2,Dose14,pH_modifier,Dose15,pH_modifier1,Dose16,Solubilizer,Dose17,Sweeting_agent,Dose18,Sweeting_agent1,Dose19,Viscosity_increasing,Dose20,Preservative,Dose21,Weight,BulkDensity,TappedDensity,CarrsCompressibilityIndex,HausnerRatio,AngleofRepose,DISINTEGRATION_TIME
0.152445961,0.398148148,0.25,0.210526316,0.047619048,0.290890957,0.120689655,0.123552124,0.525773196,0.008413462,0.75,0.030517711,1,0.009929078,0,0,0,0,0,0,0.666666667,0.06165073,0,0,0,0,0,0,0.5,0.335733882,0,0,0.5,0.077777778,0.9,0.014,0,0,0,0,0,0,0.333333333,0.05,0,0,0,0,0,0,0.126436782,0,0,0,0,0,0.101666667
0.555858931,0.916666667,0.125,0.473684211,0.619047619,0.464760638,0.620689655,0.818532819,0,0.014423077,0,0,0,0,1,0.222222222,0,0,1,0.048709206,0.666666667,0.369904378,0,0,0,0,0,0,0,0,1,0.066666667,0,0,0,0,0,0,0,0,0,0,0.333333333,0.071428571,0,0,0,0,0,0,0.195402299,0.176470588,0.00047619,0.249438202,0,0.584710744,0.190555556
0.281342435,0.527777778,0.125,0.368421053,0.238095238,0.278922872,0.275862069,0.353281853,0.618556701,0.038461538,0.75,0.016348774,1,0.070921986,0,0,0,0,0,0,0.666666667,0.38248616,0,0,0,0,1,0.1,0.75,0.006858711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195402299,0.294117647,0.000833333,0.33258427,0.048,0.66322314,0.177222222
0.385551763,0.722222222,0.125,0.263157895,0.380952381,0.247672872,0.379310345,0.397683398,0.350515464,0.048477564,0,0,0,0,1,0.022222222,0,0,1,0.214320507,0.666666667,0.070457977,0,0,0,0,1,0.033333333,0,0,1,0.033333333,0,0,0,0,0,0,0,0,0,0,0.333333333,0.178571429,0,0,0,0,0,0,0.137931034,0.235294118,0.000595238,0.471910112,0.052,0.533057851,0.283333333
0.2221843,0.564814815,0.25,0.105263158,0.285714286,0.210106383,0.24137931,0.269305019,0.731958763,0.118589744,0,0,0,0,0,0,1,0.034246575,1,0.267900633,0,0,0,0,0,0,1,0.066666667,0.5,0.171467764,1,0.1,0,0,0,0,0,0,0,0,0,0,0.333333333,0.178571429,0,0,0,0,0,0,0.235632184,0.529411765,0.001071429,0.26741573,0.044,0.652892562,0.144444444
0.473265074,0.787037037,0.5,0.210526316,0.476190476,0.258643617,0.5,0.544401544,0.360824742,0.05849359,0,0,0,0,0,0,1,0.068493151,1,0.00243546,0.666666667,0.133366885,0,0,0,0,1,0.066666667,0,0,1,0.066666667,0.5,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08045977,0.411764706,0.000952381,0.33258427,0.048,0.444214876,0.055555556
0.269283276,0.574074074,0,0.157894737,0.142857143,0.216422872,0.25862069,0.386100386,0.453608247,0.118589744,0,0,0.75,0.021276596,0,0,0,0,0,0,0.666666667,0.188726724,0,0,0,0,1,0.2,0.5,0.49382716,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.115384615,0,0,0,0,0.310344828,0.294117647,0.000714286,0.123595506,0.044,0.547520661,0.195555556
0.619567691,0.407407407,0.625,0.736842105,0.571428571,0.820478723,0.637931034,0.922779923,0.577319588,0.279847756,0.75,0.408719346,0,0,0,0,1,0.293835616,1,0.153433999,0,0,1,1,0,0,1,0.2,0,0,1,0.266666667,0.5,1,0,0,0,0,0,0,0,0,0.333333333,1,0,0,0,0,0,0,0.655172414,0.294117647,0.000714286,0.321348315,0.048,0.619834711,0.211111111
0.229010239,0.407407407,0.25,0.157894737,0.142857143,0.278257979,0.224137931,0.36969112,0.618556701,0.008413462,0,0,0,0,0,0,1,0.054794521,0,0,0,0,0,0,0,0,0,0,0,0,1,0.033333333,0.5,0.055555556,0,0,0,0,1,0.472222222,0,0,0,0,0,0,0,0,0,0,0.08045977,0,0,0,0,0,0.108333333
0.160750853,0.509259259,0.125,0.105263158,0.19047619,0.098071809,0.172413793,0.162162162,0.773195876,0.098557692,0,0,0,0,0.5,0.111111111,0,0,0,0,0.666666667,0.075490689,0,0,0,0,1,0.166666667,0.5,0.154320988,1,0.133333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0.115384615,0,0,0,0,0.137931034,0.294117647,0.000714286,0.415730337,0.048,0.70661157,0.066666667
