num,API,Molecular Weight( g/mol),XLogP3-AA,Hydrogen Bond Donor Count,Hydrogen Bond Acceptor Count,Rotational bond count,Topological surface area( A^2),Heavy atom count,Complexity,LogS,DOSE,Disintegrant,Dose (mg),Disintegrant,Dose (mg),Super_Disintegrant,Dose (mg),Super_Disintegrant,Dose (mg),Diluent,Dose (mg),Diluent,Dose (mg),Binder,Dose (mg),Binder,Dose (mg),Glidant,Dose (mg),Glidant,Dose (mg),Lubricant,Dose (mg),Lubricant,Dose (mg),Lubricant,Dose (mg),pH_modifier,Dose (mg),pH_modifier,Dose (mg),Solubilizer,Dose (mg),Sweeting_agent,Dose (mg),Sweeting_agent,Dose (mg),Viscosity_increasing,Dose (mg),Preservative,Dose (mg),Weight(mg),"Bulk Density
(g/cc , gm/ml , gm/cm³) (Mean)","Tapped Density
(g/cc , gm/ml , gm/cm³) (Mean)","Carr’s Compressibility Index
(%) (Mean)",Hausner Ratio (Mean),Angle of Repose (°) (Mean),HARDNESS,"HARDNESS      (kg/cm2 , kp , kgF)   (SD)",FRIABILITY(%) (mean),FRIABILITY(%) (SD),THICKNESS (mm) (mean),THICKNESS (mm) (SD),Wetting time (s) (mean),Wetting time (s) (SD),Drug content (%) (mean),Drug content (%) (SD),Water absorption ratio (%) (Mean),Water absorption ratio (%) (SD),Mixing Time(min) (Mean),Mixing Time(min) (SD),DIAMETER(mm) (Mean),DIAMETER(mm) (SD),Tablet porosity (%) (Mean),Tablet porosity (%) (SD),Assay (%) (Mean),Assay (%) (SD),Moisture content (%) (Mean),Moisture content (%) (SD),Dispersion Time (s) (Mean),Dispersion Time (s) (SD),Cumulative Drug Release(%) (Mean),Cumulative Drug Release(%) (SD),DISINTEGRATION_TIME
37,20,461.8,2.9,3,5,8,53,29,443,-3.8,5,0,0,8,8,0,0,4,4,1,172,0,0,0,0,0,0,1,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,200,0,0,0,0,0,1.5,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
38,20,461.8,2.9,3,5,8,53,29,443,-3.8,5,0,0,8,12,0,0,4,4,1,168,0,0,0,0,0,0,1,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,200,0,0,0,0,0,1.5,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
48,20,461.8,2.9,3,5,8,53,29,443,-3.8,5,0,0,8,8,0,0,0,0,1,176,2,2,0,0,0,0,1,2,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,7,5,0,0,0,0,200,0,0,0,0,0,1.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
49,20,461.8,2.9,3,5,8,53,29,443,-3.8,5,0,0,8,8,0,0,0,0,1,174,2,4,0,0,0,0,1,2,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,7,5,0,0,0,0,200,0,0,0,0,0,1.5,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
50,20,461.8,2.9,3,5,8,53,29,443,-3.8,5,0,0,8,8,0,0,0,0,1,172,2,6,0,0,0,0,1,2,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,7,5,0,0,0,0,200,0,0,0,0,0,1.5,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
52,20,461.8,2.9,3,5,8,53,29,443,-3.8,5,0,0,8,8,0,0,0,0,1,168,2,10,0,0,0,0,1,2,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,7,5,0,0,0,0,200,0,0,0,0,0,1.5,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
55,20,461.8,2.9,3,5,8,53,29,443,-3.8,5,0,0,8,8,0,0,0,0,1,163,2,2,0,0,0,0,1,2,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,7,8,0,0,0,0,200,0,0,0,0,0,1.5,0.6,0.5,0,3.7,0.1,23,1.2,93.3,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
118,40,333.3,2,8,10,6,188,23,288,-3,72.8,0,0,0,0,0,0,0,0,1,22.5,2,46.6,1,5.2,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,1.5,0.1,18.7,0,0,0,55.7,6.7,100.1,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7
79,104,239.3,0.3,4,4,5,72.7,17,227,-1.9,2,0,0,8,8,0,0,4,4,1,175,0,0,0,0,0,0,1,3,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,7,5,0,0,0,0,200,0,0,0,0,0,1.5,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
80,104,239.3,0.3,4,4,5,72.7,17,227,-1.9,2,0,0,8,12,0,0,4,4,1,171,0,0,0,0,0,0,1,3,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,7,5,0,0,0,0,200,0,0,0,0,0,1.5,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
90,104,239.3,0.3,4,4,5,72.7,17,227,-1.9,2,0,0,8,8,0,0,0,0,1,179,2,2,0,0,0,0,1,2,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,7,5,0,0,0,0,200,0,0,0,0,0,1.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
91,104,239.3,0.3,4,4,5,72.7,17,227,-1.9,2,0,0,8,8,0,0,0,0,1,177,2,4,0,0,0,0,1,2,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,7,5,0,0,0,0,200,0,0,0,0,0,1.5,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
92,104,239.3,0.3,4,4,5,72.7,17,227,-1.9,2,0,0,8,8,0,0,0,0,1,175,2,6,0,0,0,0,1,2,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,7,5,0,0,0,0,200,0,0,0,0,0,1.5,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
94,104,239.3,0.3,4,4,5,72.7,17,227,-1.9,2,0,0,8,8,0,0,0,0,1,171,2,10,0,0,0,0,1,2,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,7,5,0,0,0,0,200,0,0,0,0,0,1.5,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
97,104,239.3,0.3,4,4,5,72.7,17,227,-1.9,2,0,0,8,8,0,0,0,0,1,175,2,2,0,0,0,0,1,3,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,7,5,0,0,0,0,200,0,0,0,0,0,1.5,0.3,0.5,0,3.6,0.1,28,1.5,103.6,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
1968,5,425.9,1.7,3,8,8,112,29,511,-3.3,2.5,0,0,0,0,0,0,4,6,1,108,2,75.1,0,0,6,6,0,0,0,0,0,0,0,0,9,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,1.6,0,0.2,0,0,0,0.4,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.2
624,6,414.6,2.8,4,3,3,58.3,19,259,-3.9,7.5,0,0,8,4,0,0,4,4,1,173.5,0,0,0,0,0,0,1,3,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,7,5,0,0,0,0,200,0,0,0,0,0,1.6,0.3,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
