MolecularWeight,XLogP3-AA,HydrogenBondDonorCount,HydrogenBondAcceptorCount,Rotationalbondcount,TopologicalSurfaceArea,HeavyAtomCount,Complexity,LogS,DOSE1,Disintegrant,Dose2,Disintegrant1,Dose3,Super_Disintegrant,Dose4,Super_Disintegrant1,Dose5,Diluent,Dose6,Diluent1,Dose7,Binder,Dose8,Binder1,Dose9,Glidant,Dose10,Glidant1,Dose11,Lubricant,Dose12,Lubricant1,Dose13,Lubricant2,Dose14,pH_modifier,Dose15,pH_modifier1,Dose16,Solubilizer,Dose17,Sweeting_agent,Dose18,Sweeting_agent1,Dose19,Viscosity_increasing,Dose20,Preservative,Dose21,Weight,BulkDensity,TappedDensity,CarrsCompressibilityIndex,HausnerRatio,AngleofRepose,DISINTEGRATION_TIME
0.326734926,0.592592593,0.25,0.157894737,0.333333333,0.134973404,0.310344828,0.301158301,0.597938144,0.018429487,0,0,0,0,1,0.055555556,1,0.034246575,0,0,0.666666667,0.181177655,0,0,0,0,0,0,0,0,1,0.033333333,0.5,0.277777778,0,0,0,0,0,0,0,0,0,0,1,0.038461538,0,0,0,0,0.08045977,0.294117647,0.000714286,0.485393258,0.052,0.568181818,0.211111111
0.108304892,0.296296296,0.25,0.157894737,0.142857143,0.184175532,0.086206897,0.125482625,0.917525773,0.048477564,0,0,0,0,0,0,0,0,1,0.297126157,0.666666667,0.100654253,0.5,0.023730422,0,0,1,0.1,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0.333333333,0.071428571,0,0,0,0,0,0,0.195402299,0.235294118,0.000595238,0.393258427,0.048,0.597107438,0.266666667
0.049488055,0.324074074,0.5,0,0.095238095,0.293550532,0.017241379,0.017374517,0.896907216,0.499198718,1,0.081743869,0,0,0,0,0,0,0,0,0.666666667,0.276799195,0,0,0,0,1,0.083333333,0.5,0.582990398,1,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0.048076923,0,0,0,0,0.603448276,0,0,0,0,0,0.316666667
0.197952218,0.675925926,0.25,0.105263158,0.19047619,0.153257979,0.172413793,0.183397683,0.556701031,0.098557692,0,0,0,0,0,0,0,0,1,0.012177302,0.666666667,0.31454454,0.5,0.047460845,0,0,1,0.2,0,0,1,0.133333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195402299,0.352941176,0.000952381,0.433707865,0.056,0.561983471,0.25
0.40887372,0.416666667,0.375,0.473684211,0.476190476,0.484707447,0.413793103,0.63030888,0.567010309,0.018429487,0,0,0,0,0,0,1,0.082191781,0,0,0.666666667,0.299446402,0,0,0,0,0,0,0,0,1,0.1,0.5,0.044444444,0,0,1,0.04,0,0,0,0,0.333333333,0.160714286,0,0,0,0,0,0,0.137931034,0.352941176,0.000833333,0.402247191,0.048,0.603305785,0.136111111
0.28930603,0.462962963,0.625,0.315789474,0.285714286,0.474734043,0.310344828,0.305019305,0.721649485,0.018429487,0,0,1,0.021276596,0,0,0,0,1,0.192401364,0,0,0,0,0,0,1,0.033333333,0,0,1,0.033333333,0,0,0.6,0.01,0,0,0,0,0,0,0.333333333,0.714285714,0,0,0,0,0,0,0.101149425,0.294117647,0.000714286,0,0.048,0,0.288888889
0.280318544,0.805555556,0,0.052631579,0.285714286,0.010970745,0.327586207,0.304054054,0.412371134,0.048477564,0,0,0,0,0,0,1,0.068493151,1,0.236239649,0.666666667,0.150981379,0,0,0,0,1,0.133333333,0,0,1,0.066666667,0,0,0,0,0,0,0,0,0,0,0.333333333,0.071428571,0,0,0,0,0,0,0.195402299,0.352941176,0.000833333,0.330337079,0,0.52892562,0.268333333
0.310352673,0.5,0.25,0.210526316,0.428571429,0.188829787,0.310344828,0.286679537,0.690721649,0.098557692,0,0,0,0,0,0,1,0.082191781,0,0,0,0,0,0,0,0,0,0,0.5,0.2760631,1,0.05,0,0,0,0,0,0,0,0,0,0,0.333333333,0.160714286,0,0,0,0,0,0,0.137931034,0,0,0,0,0,0.486111111
0.108304892,0.296296296,0.25,0.157894737,0.142857143,0.184175532,0.086206897,0.125482625,0.917525773,0.048477564,0,0,0,0,0,0,0,0,1,0.205796396,0.666666667,0.176144942,0.5,0.059326056,0,0,1,0.1,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0.333333333,0.071428571,0,0,0,0,0,0,0.195402299,0.235294118,0.000595238,0.402247191,0.048,0.640495868,0.133333333
0.55301479,1,0.125,0.210526316,0.571428571,0.317154255,0.568965517,0.756756757,0.113402062,0.008814103,0,0,0,0,0,0,1,0.136986301,0,0,0.666666667,0.258681429,0,0,0,0,0,0,0,0,1,0.066666667,0,0,0,0,0,0,1,0.088888889,0,0,0.333333333,0.071428571,0,0,0,0,0,0,0.137931034,0.294117647,0.000595238,0.182022472,0.044,0.570247934,0.105555556
