Molecular Weight( g/mol),XLogP3-AA,Hydrogen Bond Donor Count,Hydrogen Bond Acceptor Count,Rotational bond count,Topological surface area( A^2),Heavy atom count,Complexity,LogS,DOSE,Microcrystalline Cellulose (Avicel),Mannitol,Magnesium Stearate,Talc,Weight(mg),"Bulk Density
(g/cc , gm/ml , gm/cm³) (Mean)","Tapped Density
(g/cc , gm/ml , gm/cm³) (Mean)","Carr’s Compressibility Index
(%) (Mean)",Hausner Ratio (Mean),Angle of Repose (°) (Mean),Sodium croscarmellose,Aspartame,Hydroxypropyl Cellulose (HPC),Gum,Chitosan,Sodium saccharin,Sodium lauryl sulfate(SLS),Sodium stearyl fumarate ,Polyvinylpyrrolidone (Crospovidone),Sodium starch glycolate,polyvinyl acetate,Lactose,Colloidal silicon dioxide (Aerosil),Citric acid,Menthol,B-cyclodextrin,Stevia leaf Powder ,Clove oil ,Starch,sodium bicarbonate (NaHCO3),Plantago ovata,Pharmaburst,parteck,Polyethylene Glycol,Eudragit EPO,Precirol,acesulfame potassium,Polacrilin Potassium,Acryflow-L,Indion,Lubritose,Sucralose,Silicon dioxide,Neotame,Sucrose,Ocimum sanctum seed powder,Agar,Calcium carbonate,Sodium Saccharine ,Prosolv ODT,Cellactose,Quinoline yellow lake,Aerosol,Sodium behenate,dibasic calcium phosphate,Mucilage powder,GNSP,Ludipress,Kaolin,Methyl paraben,Camphor,CPE,DISINTEGRATION_TIME
0.189686212,0.594795539,0.125,0.105263158,0.181818182,0.162898936,0.148648649,0.189189189,0.607700312,0.098647972,0.025163563,0,0.133333333,0.166666667,0.199084668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.449245542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5
0.468437252,0.691449814,0.5,0.578947368,0.363636364,0.60106383,0.432432432,0.418918919,0.464099896,0.008512769,0.226472068,0.082815735,0,0.1,0.14187643,0.327710843,0.000642857,0.257752809,0.045228748,0.615654688,0,0.107142857,0,0,0,0,0,0.055555556,0.082191781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5
0.113426508,0.29739777,0.5,0.157894737,0.227272727,0.231050532,0.108108108,0.109073359,0.850156087,0.008112168,0.088072471,0,0.033333333,0,0.084668192,0.337349398,0.000880952,0.546516854,0.052880378,0.640231309,0,0,0,0,0,0,0,0,0,0.05,0,0.179012346,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.52
0.328481,0.855018587,0.125,0.157894737,0.318181818,0.107712766,0.337837838,0.5,0.296566077,0.000500751,0.030196276,0.409207161,0,0.133333333,0.199084668,0.295180723,0.000702381,0.380876404,0.048233315,0.548120611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6
0.169941346,0.260223048,0.375,0.315789474,0.045454545,0.438164894,0.108108108,0.366795367,0.750260146,0.023535303,0.184952189,0,0.133333333,0.066666667,0.084668192,0.295180723,0.000630952,0.170247191,0.04310552,0.419041718,0.044444444,0,0,0,0,0,0,0,0.02739726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.66
0.606748098,0.641263941,0.625,0.684210526,0.318181818,0.587765957,0.581081081,1,0.621227888,0.198798197,0.200050327,0.066983315,0.166666667,0.166666667,0.256292906,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0.277777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0,0,1,0,0,0,8.8
0.606748098,0.641263941,0.625,0.684210526,0.318181818,0.587765957,0.581081081,1,0.621227888,0.198798197,0.174886764,0.066983315,0.166666667,0.166666667,0.256292906,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0.277777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0,0,1,0,0,0,8.8
0.113426508,0.29739777,0.5,0.157894737,0.227272727,0.231050532,0.108108108,0.109073359,0.850156087,0.006509765,0.060392552,0.141273901,0.016666667,0,0.084668192,0.278313253,0.000615476,0.27505618,0,0.467781908,0,0.178571429,0,0,0,0,0,0,0.04109589,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85
0.113426508,0.29739777,0.5,0.157894737,0.227272727,0.231050532,0.108108108,0.109073359,0.850156087,0.006509765,0.070457977,0.141273901,0.016666667,0,0.084668192,0.277710843,0.000609524,0.27011236,0,0.438455184,0,0.178571429,0,0,0,0,0,0,0.01369863,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.88
0.113426508,0.29739777,0.5,0.157894737,0.227272727,0.231050532,0.108108108,0.109073359,0.850156087,0.006509765,0.065425264,0.141273901,0.016666667,0,0.084668192,0.278915663,0.000613095,0.271910112,0,0.46055349,0,0.178571429,0,0,0,0,0,0,0.02739726,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.93
0.229079154,0.576208178,0,0.157894737,0.136363636,0.216422872,0.202702703,0.386100386,0.454734651,0.118678017,0.133366885,0,0.066666667,0.1,0.199084668,0,0,0,0,0,0.266666667,0.035714286,0,0,0,0,0,0,0,0,0,0.18175583,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
